id_video,titulo,dt_publicacao,id_canal,canal,dt_trending,cont_views,likes,dislikes,cont_comentarios,descricao,categoria
T_YGfdBhy6s,Julia Franco- se você errar a resposta balde de água na cabeça,2021-03-30 22:12:46+00:00,UCAhZ2eZUVnHN5IKoB5FvTow,mundo da Juju E pepê,2021-04-12 00:00:00+00:00,794011,85263,1526,163,#jujufranco #juliafranco,People & Blogs
xa49MdOqYLI,"Palmeiras vence o Grêmio, paulistas estreiam, Cuca no Galo e Fla reformula | Posse de Bola #104",2021-03-01 13:11:30+00:00,UC3KHYFWeB0WimMBfm3NEahQ,UOL Esporte,2021-03-07 00:00:00+00:00,115009,9159,323,617,"Posse de Bola desta segunda-feira analisa a vitória do Palmeiras sobre o Grêmio no primeiro jogo da final da Copa do Brasil, em Porto Alegre, a estreia com empates de Corinthians, Santos e São Paulo, com estreia de Hernan Crespo, no Campeonato Paulista, o Atlético-MG próximo de acertar o retorno do técnico Cuca e o que pode mudar no Flamengo após o título brasileiro.Toda segunda-feira e sexta-feira, ao vivo, Arnaldo Ribeiro, Eduardo Tironi, Juca Kfouri e Mauro Cezar Pereira debatem os principais assuntos do futebol brasileiro. Inscreva-se no canal para não perder os próximos.",Sports
XjKx-kiRmQA,TIRINGA LEVA TÕE À PRAIA PELA PRIMEIRA VEZ ,2021-01-26 23:00:31+00:00,UCajp7rm8GPY1Lw_eVfMmmVA,CHÁCARA COMÉDIA SELVAGEM,2021-02-05 00:00:00+00:00,1880144,176786,1836,3297,"CONTINUAÇÃO DO VÍDEO NO CHÁCARA COMÉDIA SELVAGEMLINK: https://www.youtube.com/channel/UCajp7rm8GPY1Lw_eVfMmmVA_SE FOR DO MIMIMI NÃO SE INSCREVA!MAS SE FOR GENTE BOA É PRA METER O DEDO!TÕE DE TIRINGA PEGA NA SALAMANTA, A COBRA MORDEDEIRA | CHÁCARA COMÉDIA SELVAGEM ®TÕE DE TIRINGA PEGA NA SALAMANTA, A COBRA MORDEDEIRA  | CHÁCARA COMÉDIA SELVAGEM ®TÕE DE TIRINGA PEGA NA SALAMANTA, A COBRA MORDEDEIRA  | CHÁCARA COMÉDIA SELVAGEM ®Conheça os nossos produtos no site TIRINGA OFICIAL!Acesse: https://tiringaoficial.com.br____Tiringa is the Brazilian ChotuTiringa ब्राजील का छोटू है #Tiringa #Charlles #Comedy #Chotu ._ __ FICHA TÉCNICA - CANAL COMÉDIA SELVAGEM ®Diretor, Roteirista e Editor:Charlles Rekson Barboza de LimaPersonagens Principais:Charlles Rekson Barboza de Lima - CharllesJosé Antônio da Silva - TõeCategoria dos Vídeos:ComédiaClassificação Indicativa:+14 anosGestão do Canal no YouTubeRicardo Gomes Grupo no Telegram:https://t.me/grupocomediaselvagem .Contato no Telegram:https://t.me/contatocomediaselvagemContato por e-mail:psico.ricardogomes@gmail.com",Comedy
DXCawDyyOTg,[Aula 01] 3ª Quarentena da Costura,2020-11-04 12:15:09+00:00,UCQnmd3WsYwXOz_1Z5BmAajg,Diana Demarchi,2020-11-06 00:00:00+00:00,221013,15645,263,4373,"PEGUE SEUS MOLDES AQUI https://costureirademaocheia.com/qdc-aula-1/Link para o Grupo VIP no WhatsApp: https://costureirademaocheia.com/grupo-whatsapp-qdc3 Link para a Comunidade no Facebook:  https://www.facebook.com/groups/3quarentenadacostura3ª QUARENTENA DA COSTURA da Diana Demarchi O MAIOR e MELHOR Evento Online de Costura do BrasilNesse evento 100% ONLINE e 100% GRATUITO de 03 a 07 de Novembro você vai descobrir: O Passo a Passo Completo para se Tornar uma Costureira de Mão Cheia e costurar peças tão lindas que nem a sua família vai acreditar. Como Trabalhar com a Costura de forma profissional, mesmo em Tempos de CRISE. Como Gerar de 2 a 5 Mil Reais por Mês com a Costura Trabalhando SEM SAIR DE CASA. Além de concursos valendo Prêmios Exclusivos como 05 MÁQUINAS DE COSTURA SINGER e 10 KITs de Costura Diana Demarchi.Para participar clique agora mesmo ➡️ clique no link abaixo  https://costureirademaocheia.com/grupo-whatsapp-qdc3",Entertainment
i-zTRZnSwcI,#CopaVerde - Independente x Clube do Remo,2021-02-07 21:26:38+00:00,UCsLGx5V5iv-JHbG10oDZOcw,Remo TV,2021-02-14 00:00:00+00:00,125733,6519,189,45,Loja Virtual do Leão: http://www.clubedoremo.com.br/loja​#OReiDaAmazônia #ClubeDoRemo #Transmissão,Sports
6Fphpd1C5z4,Matheus & Kauan - É Problema (Making Of),2020-11-14 14:00:03+00:00,UC4WvVh0AwJ6K9w1JLepce7A,Matheus e Kauan,2020-11-21 00:00:00+00:00,54683,4023,32,91,Making Of de É Problema Assista agora no youtubehttps://www.youtube.com/watch?v=3QTUjsF50PM,Music
-Ss6kIkmCtI,FLUZÃO NA FINAL! | FLUMINENSE 3X1 PORTUGUESA - MELHORES MOMENTOS,2021-05-09 21:42:56+00:00,UCbFZ3wmgC7VF0dJnTtKC10A,Cariocão TV,2021-05-17 00:00:00+00:00,24850,869,22,72,"Com gols de Yago Felipe, Matheus Teixeira e Kayky, o Fluminense venceu a Portuguesa e está na final do #Cariocão!Siga o Cariocão nas Redes Sociais:▶️ Instagram.com/cariocao▶️ Twitter.com/cariocao▶️ Tiktok.com/@cariocao▶️ Facebook.com/campeonatocariocaoficial▶️  Kw.ai/IK58v9h4",Sports
sZ7oZoNBBXE,Priscilla Alcantara - Tem Dias,2021-08-06 14:00:10+00:00,UCVspHhohr0GVv6d69nlHCgA,PrisAlcantaraVEVO,2021-08-16 00:00:00+00:00,1374142,55079,3887,6302,"Vídeo Oficial de Tem Dias da Priscilla Alcantara.Ouça agora e adicione nas suas playlists: https://smb.lnk.to/TemDiasInscreva-se no canal: http://bit.ly/YouTubePriSiga Priscilla nas redes sociais! Facebook: https://www.facebook.com/priscillaalcantaraoficial/Instagram: https://www.instagram.com/priscillaalcantara/Twitter: https://twitter.com/prialcantara/ Site Oficial: http://www.priscillaalcantara.com.br/-LETRA “TEM DIAS”(Priscilla Alcantara, Karen Jonz e Lucas Silveira)Essa foto antiga eu não seiNem mais quando foi que eu tireiQuando olho sinto algo esquisitoNão sobrou mais nada que fale comigoNão ser sempre igualQuem vou ser no finalDa medo de errarPior é nem tentarTem dias que eu sintoQue eu só existoNa hora em que ninguém me vê A gente não percebe Que ninguém conseguePor tanto tempo se esconderEntão deixe que o tempo revele vocêDeixe que o tempo revele vocêDeixe que o tempo revele vocêNa hora em que ninguém te vêMeu próprio reflexo não seiNem mais quando foi que eu olheiChamei o espelho de inimigoSó porque ele foi sincero comigo-FICHA TÉCNICADiretor: João MonteiroDireção Criativa: João Monteiro & Audrey NobregaPrimeira assistente de direção: Tize SalatiDireção de Produção: Dani Façanha                        Coordenação De Produção: Felipe OlalquiagaDireção de fotografia: Victor AlencarOperador de câmera: Nicholas ZugaibAssistente de fotografia: João Lucas Bandeira Petilo de CarvalhoLogagem: Carol ColomboVídeo assist: Caíque BarbozaFotografia Still: Rodolfo MagalhãesDireção de Arte: Annik Maas Produção de Arte: Alice Barcelos Assistente de Arte: Camila Barros da Motta SoaresContrarregra: Jorge SpadaroContrarregra: Gustavo PradoMotorista: Arian FrotaCineProdutora de locação: Movimenta ProduçõesProdução de set: Eduardo Ferreira Andreani      Platô: Silvanio Rodrigues dos SantosPlatô: FS Amorim Motorista: Jamaica Bahia                             Beleza: Jakelline FalchiAssistência de Beleza: Juliana BonfimNail art: Roberta MunisFigurino: Juliana BordinAssistência de Figurino: Kevin Fernando Tertuliano         Camareira: Edna Maria Mesquit               Gaffer: Frank Closel Maquinaria: Rogério CostaAssistência de Maquinaria: Aliandro zotiAssistência de elétrica: Igor CarvalhoAssistência de elétrica: Marciel Anser BuenoAssistência de elétrica: Criolo Edição - Gabriel CésarColor - Alexandre Cristófaro - ClandestinoTestes COVID: Dom Bosco Remoções Médicas LTDAEquipamento Câmera: Digital 35Equipamento de Luz: Cine Gripp e Trakitana Projeção: ON ProjeçõesCatering: Helipa Gastronomia Seguro: GBI Seguros Estrutura de Produção: Águia Locações Van de Câmera: Delmiro José da SilvaMotorista: Adelvan Vieira BarbosaMotorista: Gilberto Correia DiasSONY MUSICPresidente: Paulo JunqueiroDiretor A&R: Bruno BatistaDiretora de Marketing e Promoção: Cristiane SimõesA&R: Karina MartinsA&R Audiovisual: Karina Taccolini e Vanessa AnesiEstagiária A&R Audiovisual: Luiza CatalaniLabel Marketing: Rodrigo CameloLabel Marketing Digital: Clara Egues#PriscillaAlcantara #TemDias",Music
IH2YN86dfhY,TIPOS DE JOGADORES #29 (EDIÇÃO ESPECIAL: TÉCNICO DE FUTEBOL),2020-09-06 21:43:06+00:00,UCriRvZSnEFPSMqSya2s2U6g,Banheiristas,2020-09-14 00:00:00+00:00,593637,45439,512,839,IRMÃOS LO:https://www.youtube.com/channel/UCGmK5lxJny00jnQl03rvgEw/videos[INSCREVA-SE NO CANAL]INSTAGRAM@banheiristas@caiolo@vitorlo_@owenesquilo@rodrigobanheiristasCUPOM 5% DE DESCONTO NO SITE DA EDIFIER: BANHEIRISTAShttps://www.lojaedifier.com.br/VEM COM OS BANHEIRISTAS NO ORLANDO SOCCER CAMP EM 2021! TODAS INFORMAÇÕES NESTE LINK: https://www.ie.com.br/intercambio/ferias-teen/orlando-soccer-campAPENAS! CONTATO COMERCIAL:banheiristas@gmail.com,Sports
g0pXKnt4OQ8,A ÚLTIMA PEÇA QUE FALTAVA PRA LIGAR A XT660,2021-02-12 15:00:31+00:00,UCs1JevIKnU4E4ULMZr-0Qog,Hugo Milgrau,2021-02-18 00:00:00+00:00,170289,30070,136,594,Me siga no Insta: @hugooficialMeu face: http://facebook.com/hugo.milgrauQUER ME ENVIAR PRESENTES?Caixa Postal numero 16CEP: 72800 970Luziânia-GO,Entertainment
